"Brand","Position","Previous Position","Brand Value ($M)","Previous Brand Value ($M)","Rating","Previous Rating","Year","Previous Year"
"Nike",1,1,"31306.62","33175.68","AAA-","AAA-",,
"Louis Vuitton",2,2,"26289.87","23425.92","AAA","AAA",,
"Chanel",3,4,"19386.43","15259.68","AAA-","AAA-",,
"Gucci",4,3,"17839.18","18110.44","AAA","AAA",,
"Adidas",5,5,"15659.56","14635.72","AAA-","AAA-",,
"Hermès",6,6,"14165.09","13499.34","AAA","AAA-",,
"Dior",7,11,"13152.03","9026.54","AAA","AAA",,
"Cartier",8,9,"12538.00","12419.36","AA+","AA+",,
"Zara",9,7,"11049.11","12996.81","AA","AA+",,
"Rolex",10,12,"10710.97","8350.30","AAA","AAA",,
"H&M",11,8,"🔒","🔒","🔒","🔒",,
"UNIQLO",12,10,"🔒","🔒","🔒","🔒",,
"Tiffany & Co",13,13,"🔒","🔒","🔒","🔒",,
"Coach",14,14,"🔒","🔒","🔒","🔒",,
"Chow Tai Fook",15,15,"🔒","🔒","🔒","🔒",,
"Lululemon",16,21,"🔒","🔒","🔒","🔒",,
"Burberry",17,16,"🔒","🔒","🔒","🔒",,
"Prada",18,29,"🔒","🔒","🔒","🔒",,
"Puma",19,19,"🔒","🔒","🔒","🔒",,
"Omega",20,24,"🔒","🔒","🔒","🔒",,
"Ralph Lauren",21,22,"🔒","🔒","🔒","🔒",,
"Yves Saint Laurent",22,27,"🔒","🔒","🔒","🔒",,
"Ray-Ban",23,18,"🔒","🔒","🔒","🔒",,
"Armani",24,32,"🔒","🔒","🔒","🔒",,
"Victoria's Secret",25,23,"🔒","🔒","🔒","🔒",,
"Anta",26,17,"🔒","🔒","🔒","🔒",,
"Under Armour",27,30,"🔒","🔒","🔒","🔒",,
"The North Face",28,20,"🔒","🔒","🔒","🔒",,
"Moncler",29,26,"🔒","🔒","🔒","🔒",,
"Levi's",30,25,"🔒","🔒","🔒","🔒",,
"Givenchy",31,38,"🔒","🔒","🔒","🔒",,
"Skechers",32,34,"🔒","🔒","🔒","🔒",,
"Old Navy",33,31,"🔒","🔒","🔒","🔒",,
"Fila",34,28,"🔒","🔒","🔒","🔒",,
"Céline",35,45,"🔒","🔒","🔒","🔒",,
"TAG Heuer",36,37,"🔒","🔒","🔒","🔒",,
"Tommy Hilfiger",37,35,"🔒","🔒","🔒","🔒",,
"Michael Kors",38,36,"🔒","🔒","🔒","🔒",,
"Van Cleef & Arpels",39,49,"🔒","🔒","🔒","🔒",,
"Bulgari",40,33,"🔒","🔒","🔒","🔒",,
"Primark / Penney's",41,40,"🔒","🔒","🔒","🔒",,
"Li Ning",42,44,"🔒","🔒","🔒","🔒",,
"Pou Chen",43,"-","🔒","🔒","🔒","🔒",,
"Calvin Klein",44,39,"🔒","🔒","🔒","🔒",,
"Lao Feng Xiang",45,42,"🔒","🔒","🔒","🔒",,
"Loewe",46,50,"🔒","🔒","🔒","🔒",,
"Bosideng",47,48,"🔒","🔒","🔒","🔒",,
"Pandora",48,43,"🔒","🔒","🔒","🔒",,
"Bottega Veneta",49,46,"🔒","🔒","🔒","🔒",,
"New Balance",50,"-","🔒","🔒","🔒","🔒",,
